2.112590870089892624e-03,-1.795088253142240048e-02,8.073227234169849664e-01,-1.404177193047019892e-02,2.647885673181935018e-02,7.243615201745848831e-01,6.887685292444717389e-01,4.576447231679282163e-02,6.192605937708524008e-03,3.926349507417085938e-02,3.232156048874017945e-02,-1.351925105704992192e-01,3.285827111623403074e-02,2.608354199789229139e-02,-5.042911119110846802e-02,-1.390391960649220437e-01,5.659936183765322537e-02,-1.147976488892425290e-01,6.988272586046422041e-02,-3.198206357086907231e-03,-1.049286355911097958e-02,-3.645562892140521982e-02,-1.427371950134847245e-01,2.871794798328313192e-01,-5.348903813677156061e-01,1.195091356152723883e+00,2.541782494124401048e-01,-1.248659968899460959e-01,1.236715117898065652e-02,-1.735383926083698403e-01,-2.654741310280134825e-01,6.203414998108610634e-01,1.160698280504961488e+00,-1.817341896372568211e-01,-1.150318603919281563e-01,7.585621820171094265e-02
1.705139838306162165e-03,-1.804729300227815927e-02,8.072668660946515917e-01,-1.434826676859045878e-02,2.676507281935221888e-02,7.249875563224187358e-01,6.880921459334933266e-01,4.306016099791083046e-02,5.359447613068733622e-03,3.780899821411333461e-02,3.525709721972878491e-02,-1.373453299960830376e-01,3.467533930328754038e-02,2.474970457514292371e-02,-5.142362561438193480e-02,-1.410654512291738827e-01,5.800703629400727479e-02,-1.160407312728611307e-01,7.011149612427680644e-02,-6.496454099240838234e-03,-1.041605232225572067e-02,-3.874192324908106583e-02,-1.512556970769549647e-01,2.730891281125576442e-01,-5.382318643170560524e-01,1.226704627738042896e+00,2.617362258068882674e-01,-1.458243877197633320e-01,2.341425222311834323e-02,-1.815012558896084149e-01,-2.555675837501209524e-01,6.201236685302730089e-01,1.192544539638550338e+00,-1.834666577458888004e-01,-1.364441204467953528e-01,6.667169443462334089e-02
1.237779944233809897e-03,-1.813127544169146343e-02,8.072719372016324835e-01,-1.440198515381510558e-02,2.657985458111817786e-02,7.251711943376375480e-01,6.879046685820646712e-01,4.276640341120888783e-02,5.030247646959169240e-03,3.782579887067651775e-02,3.592545127008578421e-02,-1.378144512938218325e-01,3.538789801384424616e-02,2.514229980443601423e-02,-5.183409260562419490e-02,-1.421013560443048773e-01,5.755476158854766489e-02,-1.152831747721490691e-01,6.974686531203781736e-02,-6.985317134905476115e-03,-1.042136937095077681e-02,-3.992697007235464224e-02,-1.555369389465111329e-01,2.643957210525063051e-01,-5.436601697501102226e-01,1.237073027644937318e+00,2.674454813447714185e-01,-1.523200641656819732e-01,2.543342074743393244e-02,-1.850232498460752384e-01,-2.522302744039801037e-01,6.209671595493186924e-01,1.204657928911302189e+00,-1.865122110322198490e-01,-1.435642941018616114e-01,6.373012609076708634e-02
7.235341500131057396e-04,-1.819652215430308737e-02,8.073309228532786763e-01,-1.474739972557087206e-02,2.651112172216402510e-02,7.251667613401215906e-01,6.879046757173886695e-01,4.210495337664828253e-02,4.844183886500711550e-03,3.734588931671029011e-02,3.619520682264700667e-02,-1.380692304852434715e-01,3.724400627814474646e-02,2.507062909848167473e-02,-5.177721219635608024e-02,-1.411947267145413076e-01,5.636401031713039744e-02,-1.133910533679911431e-01,7.024126860905709202e-02,-6.692295741841844045e-03,-1.084930418188496080e-02,-4.017215513866004284e-02,-1.581108456048966326e-01,2.547890711357388982e-01,-5.485210092217923661e-01,1.243269976671485644e+00,2.718025337610796566e-01,-1.539330535930818478e-01,2.178586216143802226e-02,-1.873250236511662392e-01,-2.496392884239990173e-01,6.210903470317896691e-01,1.213381167463148724e+00,-1.878894544959600621e-01,-1.445037229316910865e-01,6.225587716447938263e-02
2.105528618319748983e-04,-1.826837014832324163e-02,8.071738625805445766e-01,-1.496771883728811176e-02,2.639789494643831821e-02,7.251383905252144491e-01,6.879341778990966105e-01,4.230116319334396857e-02,4.656316586360982092e-03,3.806134238916349111e-02,3.559745866930659475e-02,-1.399953554168705816e-01,3.721252070359223896e-02,2.550173713528549463e-02,-5.191524475618536361e-02,-1.411615280430470187e-01,5.506346059003768001e-02,-1.140847111019971105e-01,7.225705267051343861e-02,-5.832961964229856772e-03,-1.194160912810133569e-02,-4.114928999711674196e-02,-1.595419236242535399e-01,2.479690751857260567e-01,-5.551460265526473314e-01,1.240687558085153297e+00,2.792067376178725691e-01,-1.566332340214260932e-01,1.984021468833318397e-02,-1.876727262628855031e-01,-2.485449434272780922e-01,6.202747491956737136e-01,1.216714770873606355e+00,-1.917329332395217023e-01,-1.460079600473736250e-01,6.148275603082951901e-02
-2.609422616870028062e-04,-1.830155301091482972e-02,8.071149569116526923e-01,-1.510143742061939576e-02,2.633757197814920112e-02,7.251693487222470313e-01,6.879009336844067457e-01,4.175945265795836386e-02,4.386421073242322520e-03,3.909560149947268609e-02,3.653532714084926913e-02,-1.410091568664429418e-01,3.662849496394193771e-02,2.546936487251449249e-02,-5.238821051163148473e-02,-1.419582474677852368e-01,5.492499120336143126e-02,-1.142963459784466368e-01,7.272264951509081754e-02,-4.889137096855973759e-03,-1.303988172423057798e-02,-4.209205418664371812e-02,-1.608268041059744691e-01,2.420296799493883988e-01,-5.621644086719908007e-01,1.236557792329081140e+00,2.885871427507322728e-01,-1.582751588796589559e-01,2.029763561909111308e-02,-1.871733360221015940e-01,-2.477784893382588005e-01,6.196768103357820356e-01,1.219124307395267781e+00,-1.965013162201801888e-01,-1.471483383615749263e-01,5.990318095553563704e-02
-6.670955232315905776e-04,-1.830654981598206499e-02,8.071055717484015846e-01,-1.542070066132506662e-02,2.629874882579457535e-02,7.252757510002171282e-01,6.877831510093728173e-01,4.123645671844973493e-02,4.344768691045152245e-03,3.902280672602125716e-02,3.663274848660472149e-02,-1.416017197454611798e-01,3.666899078889049313e-02,2.509468591758357708e-02,-5.245483229932355884e-02,-1.421253086287951328e-01,5.480869611697193611e-02,-1.136459163650037629e-01,7.348623767500034321e-02,-4.108088140220262675e-03,-1.397751327239456394e-02,-4.261868524987656726e-02,-1.617646614884401535e-01,2.384854616880257017e-01,-5.681449005510780248e-01,1.231255955713679962e+00,2.945416137973533854e-01,-1.598554017746726952e-01,2.025848657060224517e-02,-1.864727708249709348e-01,-2.473699546067630872e-01,6.193894406504638628e-01,1.220423788544924282e+00,-1.995853881492158088e-01,-1.479742331681867251e-01,5.889831972140617544e-02
-9.834989501583972418e-04,-1.828891571645865563e-02,8.070435073364026213e-01,-1.570651268937155870e-02,2.624373569046856494e-02,7.252030384756072978e-01,6.878554534071044113e-01,4.126211751726414911e-02,4.471400857489455684e-03,3.931836882885741263e-02,3.602990839750377927e-02,-1.423977174113918720e-01,3.633558002762227179e-02,2.473648336155619826e-02,-5.238119837134647128e-02,-1.422959428244046642e-01,5.481697534729326748e-02,-1.137170932632564913e-01,7.451975912498695620e-02,-3.875748794457833327e-03,-1.434564604296273416e-02,-4.293542744729819671e-02,-1.617058286285947277e-01,2.379578011201088916e-01,-5.733336664216817091e-01,1.224351388088000592e+00,2.982915812358108432e-01,-1.618199123237575032e-01,2.039735536304180391e-02,-1.858745687425356896e-01,-2.475725929539918935e-01,6.190639215382351956e-01,1.219780631434470131e+00,-2.005947630134155557e-01,-1.495609325597490880e-01,5.961596548360916653e-02
-1.193125690387746279e-03,-1.823927008897335833e-02,8.070846296439283529e-01,-1.593460370401711054e-02,2.615625567377830724e-02,7.249567944471230208e-01,6.881130611163217559e-01,4.151979067150936981e-02,4.677201254053429090e-03,3.909010264140273805e-02,3.536561243849924152e-02,-1.422815369959626597e-01,3.661165661401862004e-02,2.429942584876546019e-02,-5.212682149514843988e-02,-1.420594003502166358e-01,5.510998463873004183e-02,-1.129341571845510206e-01,7.534189277703658150e-02,-3.618486173714854752e-03,-1.484929502700812337e-02,-4.270872398165169448e-02,-1.609683502250436882e-01,2.392338462505376184e-01,-5.773536722366627849e-01,1.218232604399543284e+00,3.002036373984338646e-01,-1.633713300383422273e-01,2.089918312777900439e-02,-1.855423220883978264e-01,-2.479127283761658751e-01,6.195392707385948272e-01,1.218491711310139447e+00,-2.005470298633756643e-01,-1.503791184867335762e-01,6.018715423860752228e-02
-1.279293882684098913e-03,-1.814987148547545642e-02,8.071142798780490679e-01,-1.619084083677894970e-02,2.618441858714562823e-02,7.247305447610776774e-01,6.883442964001096342e-01,4.153904644577765398e-02,4.879024447211769387e-03,3.856383671682561687e-02,3.480947864805054859e-02,-1.422978031360825069e-01,3.707294523736978653e-02,2.362370810557349460e-02,-5.176924135812602246e-02,-1.411102127689565222e-01,5.542390606692222665e-02,-1.122215669272514232e-01,7.510008865533152056e-02,-3.905213723310253966e-03,-1.507963991641829947e-02,-4.280121608533957872e-02,-1.598969987060560316e-01,2.397661146748839567e-01,-5.776785944821584140e-01,1.215199181040463206e+00,2.984465315643657912e-01,-1.639613383085102016e-01,2.153771703637755164e-02,-1.852038156879125541e-01,-2.477634829073051548e-01,6.193195041054355698e-01,1.217295981748963918e+00,-1.979029153571255917e-01,-1.511969927541697289e-01,6.082218920330220713e-02
